security_bits,tx_count,rsa_verify_total_ms,ecdsa_verify_total_ms,verify_ratio_rsa_ecdsa
112,5000,204.8,593.92,0.3448
112,10000,409.15,1187.61,0.3445
112,15000,614.0,1781.76,0.3446
112,20000,818.7,2375.39,0.3447
112,25000,1023.63,2968.68,0.3448
112,30000,1230.62,3562.59,0.3454
128,5000,315.65,376.78,0.8378
128,10000,631.44,753.53,0.838
128,15000,947.65,1130.63,0.8382
128,20000,1263.83,1508.56,0.8378
128,25000,1580.06,1885.92,0.8378
128,30000,1895.54,2263.41,0.8375
192,5000,1323.75,3807.84,0.3476
192,10000,2645.28,7607.1,0.3477
192,15000,3970.63,11411.56,0.3479
192,20000,5292.55,15212.57,0.3479
192,25000,6614.44,19008.53,0.348
192,30000,7936.24,22805.03,0.348
